Started 131. Target = 100000
1. p=7, n=1 	 pix=4, nroot=1
2. p=19, n=8 	 pix=8, nroot=2
3. p=37, n=27 	 pix=12, nroot=3
4. p=61, n=64 	 pix=18, nroot=4
5. p=127, n=216 	 pix=31, nroot=6
6. p=271, n=729 	 pix=58, nroot=9
7. p=331, n=1000 	 pix=67, nroot=10
8. p=397, n=1331 	 pix=78, nroot=11
9. p=547, n=2197 	 pix=101, nroot=13
10. p=631, n=2744 	 pix=115, nroot=14
11. p=919, n=4913 	 pix=157, nroot=17
12. p=1657, n=12167 	 pix=260, nroot=23
13. p=1801, n=13824 	 pix=279, nroot=24
14. p=1951, n=15625 	 pix=297, nroot=25
15. p=2269, n=19683 	 pix=337, nroot=27
16. p=2437, n=21952 	 pix=361, nroot=28
17. p=2791, n=27000 	 pix=406, nroot=30
18. p=3169, n=32768 	 pix=449, nroot=32
19. p=3571, n=39304 	 pix=500, nroot=34
20. p=4219, n=50653 	 pix=578, nroot=37
21. p=4447, n=54872 	 pix=604, nroot=38
22. p=5167, n=68921 	 pix=688, nroot=41
23. p=5419, n=74088 	 pix=716, nroot=42
24. p=6211, n=91125 	 pix=808, nroot=45
25. p=7057, n=110592 	 pix=907, nroot=48
26. p=7351, n=117649 	 pix=937, nroot=49
27. p=8269, n=140608 	 pix=1037, nroot=52
28. p=9241, n=166375 	 pix=1146, nroot=55
29. p=10267, n=195112 	 pix=1259, nroot=58
30. p=11719, n=238328 	 pix=1407, nroot=62
31. p=12097, n=250047 	 pix=1447, nroot=63
32. p=13267, n=287496 	 pix=1577, nroot=66
33. p=13669, n=300763 	 pix=1614, nroot=67
34. p=16651, n=405224 	 pix=1926, nroot=74
35. p=19441, n=512000 	 pix=2204, nroot=80
36. p=19927, n=531441 	 pix=2253, nroot=81
37. p=22447, n=636056 	 pix=2511, nroot=86
38. p=23497, n=681472 	 pix=2613, nroot=88
39. p=24571, n=729000 	 pix=2725, nroot=90
40. p=25117, n=753571 	 pix=2772, nroot=91
41. p=26227, n=804357 	 pix=2882, nroot=93
42. p=27361, n=857375 	 pix=2992, nroot=95
43. p=33391, n=1157625 	 pix=3576, nroot=105
44. p=35317, n=1259712 	 pix=3762, nroot=108
45. p=42841, n=1685159 	 pix=4480, nroot=119
46. p=45757, n=1860867 	 pix=4740, nroot=123
47. p=47251, n=1953125 	 pix=4872, nroot=125
48. p=49537, n=2097152 	 pix=5090, nroot=128
49. p=50311, n=2146689 	 pix=5163, nroot=129
50. p=55897, n=2515456 	 pix=5673, nroot=136
51. p=59221, n=2744000 	 pix=5989, nroot=140
52. p=60919, n=2863288 	 pix=6140, nroot=142
53. p=65269, n=3176523 	 pix=6521, nroot=147
54. p=70687, n=3581577 	 pix=7003, nroot=153
Started 131. Target = 1000000
55. p=70687, n=3581577 	 pix=7003, nroot=153
56. p=73477, n=3796416 	 pix=7256, nroot=156
57. p=74419, n=3869893 	 pix=7342, nroot=157
58. p=75367, n=3944312 	 pix=7426, nroot=158
59. p=81181, n=4410944 	 pix=7946, nroot=164
60. p=82171, n=4492125 	 pix=8034, nroot=165
61. p=87211, n=4913000 	 pix=8468, nroot=170
62. p=88237, n=5000211 	 pix=8558, nroot=171
63. p=89269, n=5088448 	 pix=8646, nroot=172
64. p=92401, n=5359375 	 pix=8927, nroot=175
65. p=96661, n=5735339 	 pix=9305, nroot=179
66. p=102121, n=6229504 	 pix=9781, nroot=184
67. p=103231, n=6331625 	 pix=9871, nroot=185
68. p=104347, n=6434856 	 pix=9965, nroot=186
69. p=110017, n=6967871 	 pix=10454, nroot=191
70. p=112327, n=7189057 	 pix=10651, nroot=193
71. p=114661, n=7414875 	 pix=10844, nroot=195
72. p=115837, n=7529536 	 pix=10947, nroot=196
73. p=126691, n=8615125 	 pix=11878, nroot=205
74. p=129169, n=8869743 	 pix=12090, nroot=207
75. p=131671, n=9129329 	 pix=12298, nroot=209
76. p=135469, n=9528128 	 pix=12621, nroot=212
77. p=140617, n=10077696 	 pix=13062, nroot=216
78. p=144541, n=10503459 	 pix=13385, nroot=219
79. p=145861, n=10648000 	 pix=13496, nroot=220
80. p=151201, n=11239424 	 pix=13950, nroot=224
81. p=155269, n=11697083 	 pix=14295, nroot=227
82. p=163567, n=12649337 	 pix=14978, nroot=233
83. p=169219, n=13312053 	 pix=15430, nroot=237
84. p=170647, n=13481272 	 pix=15555, nroot=238
85. p=176419, n=14172488 	 pix=16034, nroot=242
86. p=180811, n=14706125 	 pix=16407, nroot=245
87. p=189757, n=15813251 	 pix=17148, nroot=251
88. p=200467, n=17173512 	 pix=18024, nroot=258
89. p=202021, n=17373979 	 pix=18150, nroot=259
90. p=213067, n=18821096 	 pix=19051, nroot=266
91. p=231019, n=21253933 	 pix=20524, nroot=277
92. p=234361, n=21717639 	 pix=20780, nroot=279
93. p=241117, n=22665187 	 pix=21312, nroot=283
